timestamp,latitude,longitude,movingSpeed,compassDirection,nrStatus,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nr_ssRsrp_avg,nr_ssSinr_avg,mobileRx,mobileTx,currentNow,voltageNow,nrStatus_array
2021-01-16 13:21:24,44.973698,-93.2225063,0.0006729231,90,CONNECTED,-98.0,-98.0,12.0,-98.0,-98.0,12.0,505994,401336,-646.0,3784000,['CONNECTED']
2021-01-16 13:21:25,44.973698260000006,-93.22250616,0.00061279666,89,CONNECTED,-98.0,-98.0,12.0,-98.0,-98.0,12.0,506319,401605,-926.8,3784000,['CONNECTED']
2021-01-16 13:21:26,44.97369963999999,-93.22250547999998,0.0005205687199999998,89,CONNECTED,-95.0,-95.0,13.0,-97.7,-97.7,12.1,506403,401689,-829.3,3784000,['CONNECTED']
2021-01-16 13:21:27,44.973701399999996,-93.22250376,0.007945240000000001,89,CONNECTED,-95.0,-95.0,13.0,-95.0,-95.0,12.9,506403,401689,-831.9,3784000,['CONNECTED']
2021-01-16 13:21:28,44.973703220000004,-93.22249810000001,0.060320149999999996,85,CONNECTED,-95.0,-95.0,13.0,-95.0,-95.0,12.1,506403,401689,-902.4,3784000,['CONNECTED']
2021-01-16 13:21:29,44.97370424000001,-93.22249496,0.159259164,68,CONNECTED,-95.0,-95.0,13.0,-95.0,-95.0,12.9,506403,401689,-895.7,3784000,['CONNECTED']
2021-01-16 13:21:30,44.973704839999996,-93.22249352000001,0.13571793400000004,63,CONNECTED,-95.0,-95.0,12.0,-95.2,-95.2,11.6,506403,401689,-911.4,3784000,['CONNECTED']
2021-01-16 13:21:31,44.97370498,-93.22249322000002,0.075587444,61,CONNECTED,-97.0,-97.0,9.0,-97.0,-97.0,8.1,506403,401689,-733.0,3784000,['CONNECTED']
2021-01-16 13:21:32,44.97370490000001,-93.22249334,0.0281587112,68,CONNECTED,-97.0,-97.0,9.0,-97.0,-97.0,8.9,506403,401689,-725.5,3784000,['CONNECTED']
2021-01-16 13:21:33,44.97370486,-93.22249350000001,0.007185776539999999,102,CONNECTED,-97.0,-97.0,10.0,-97.0,-97.0,8.2,506403,401689,-766.6,3784000,['CONNECTED']
2021-01-16 13:21:34,44.97370392,-93.22249266000001,0.06851665496,180,CONNECTED,-95.0,-95.0,12.0,-96.8,-96.8,10.2,506403,401689,-852.5,3784000,['CONNECTED']
