timestamp,activeInterfaceName1,activeInterfaceName2,activeInterfaceName3,linkUpKbps,linkDownKbps,interfaceNameMobile1,interfaceNameMobile2,abstractSignalStr,mobileDataActivity,mobileDataState,mobileRx,mobileTx,mobileRxPackets,mobileTxPackets,mobileRxUid,mobileTxUid,mobileRxPacketsUid,mobileTxPacketsUid,mobileRx_diff_Mbps,mobileTx_diff_Mbps,locationProvider,latitude,longitude,locationAccuracy,movingSpeed,movingSpeedAccuracyMPS,compassDirection,compassAccuracy,activity0,activity1,activity2,activity3,activity4,activity5,activity6,activity7,activity8,activity9,mostProbableActivityType,mobilityLabel,mobilityLabelv2,nrStatus,nr_ssRsrp,nr_ssRsrq,nr_ssSinr,nr_level,handoffType,horizontalHandoff,verticalHandoff,accessNetworkTechnology,mCid,mAlphaLong,mAlphaShort,cpuTemperature,batteryTemperature,currentNow,voltageNow,cpuUsage,appCpuUsage,coreCpuUsage,availHeapSizeInMB
2021-01-25 06:15:39.684 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218721501423,10712897,146902242,117035,153163072276,1150838,109006268,19409,1749772,85,fused,44.9860928,-93.238389,11.207,0.0064474135,0.086023256,350.8937,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,208
2021-01-25 06:15:40.685 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218721501423,10712897,146902242,117035,153163072276,1150838,109006268,19409,1749772,85,fused,44.9860928,-93.238389,11.207,0.0064474135,0.086023256,350.8937,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,207
2021-01-25 06:15:41.686 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218721501423,10712897,146902242,117035,153163072276,1150838,109006268,19409,0,0,fused,44.9860928,-93.238389,11.207,0.0033856754,0.086023256,334.75864,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,206
2021-01-25 06:15:42.687 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218721501423,10712897,146902242,117035,153163072276,1150838,109006268,19409,0,0,fused,44.9860928,-93.238389,11.207,0.0033856754,0.086023256,334.75864,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,205
2021-01-25 06:15:43.688 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218721501423,10712897,146902242,117035,153163072276,1150838,109006268,19409,0,0,fused,44.9860929,-93.238389,16.002,0.0028090384,0.086023256,332.09766,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,204
2021-01-25 06:15:44.688 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,218749076127,10713571,146921259,117044,153191387152,1151512,109026443,19418,110,0,fused,44.9860929,-93.238389,16.002,0.0028090384,0.086023256,332.09766,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,203
2021-01-25 06:15:45.688 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,219027461183,10713571,147107913,117044,153465210676,1151512,109221474,19418,1224,0,fused,44.9860929,-93.2383889,14.485,0.0024270823,0.086023256,30.908693,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-85,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,202
2021-01-25 06:15:46.689 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,219308727491,10713571,147297079,117044,153742935916,1151512,109419346,19418,2239,0,fused,44.9860929,-93.2383889,14.485,0.0024270823,0.086023256,30.908693,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-85,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,201
2021-01-25 06:15:47.688 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,219598131567,10713571,147491248,117044,154027806112,1151512,109622183,19418,2283,0,fused,44.9860929,-93.2383889,14.485,0.0010274021,0.086023256,40.25707,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-85,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,242
2021-01-25 06:15:48.688 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,219879597151,10713571,147679682,117044,154304439040,1151512,109819216,19418,4566,0,fused,44.9860929,-93.2383889,14.485,0.0010274021,0.086023256,40.25707,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-84,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,33.9,0,0,0,0,,241
