timestamp,activeInterfaceName1,activeInterfaceName2,activeInterfaceName3,linkUpKbps,linkDownKbps,interfaceNameMobile1,interfaceNameMobile2,abstractSignalStr,mobileDataActivity,mobileDataState,mobileRx,mobileTx,mobileRxPackets,mobileTxPackets,mobileRxUid,mobileTxUid,mobileRxPacketsUid,mobileTxPacketsUid,mobileRx_diff_Mbps,mobileTx_diff_Mbps,locationProvider,latitude,longitude,locationAccuracy,movingSpeed,movingSpeedAccuracyMPS,compassDirection,compassAccuracy,activity0,activity1,activity2,activity3,activity4,activity5,activity6,activity7,activity8,activity9,mostProbableActivityType,mobilityLabel,mobilityLabelv2,nrStatus,nr_ssRsrp,nr_ssRsrq,nr_ssSinr,nr_level,handoffType,horizontalHandoff,verticalHandoff,accessNetworkTechnology,mCid,mAlphaLong,mAlphaShort,cpuTemperature,batteryTemperature,currentNow,voltageNow,cpuUsage,appCpuUsage,coreCpuUsage,availHeapSizeInMB
2021-01-25 05:48:15.851 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133141668959,10074186,89453604,106667,68946149673,632154,49064800,9847,1065133,80,fused,44.9861049,-93.2383956,15.425,0.0038821306,0.086023256,161.39084,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32.4,0,0,0,0,,195
2021-01-25 05:48:16.852 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133141670202,10074953,89453614,106676,68946149745,632226,49064801,9848,1065133,80,fused,44.9861049,-93.2383956,15.425,0.0038821306,0.086023256,161.39084,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32.2,0,0,0,0,,195
2021-01-25 05:48:17.853 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133141671298,10075097,89453616,106678,68946149745,632226,49064801,9848,0,0,fused,44.9861049,-93.2383952,14.053,0.0068942453,0.086023256,103.2469,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32.2,0,0,0,0,,194
2021-01-25 05:48:18.853 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133141671298,10075097,89453616,106678,68946149745,632226,49064801,9848,0,0,fused,44.9861049,-93.2383952,14.053,0.0068942453,0.086023256,103.2469,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-82,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32.2,0,0,0,0,,193
2021-01-25 05:48:19.853 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133141673108,10075771,89453625,106687,68946151503,632848,49064809,9856,0,0,fused,44.986105,-93.2383952,14.053,0.0035879482,0.086023256,80.256134,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-82,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,192
2021-01-25 05:48:20.853 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133373389602,10075823,89609166,106688,69174523389,632900,49227468,9857,927,0,fused,44.986105,-93.2383952,14.053,0.0035879482,0.086023256,80.256134,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-82,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,191
2021-01-25 05:48:21.853 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133652097518,10075895,89796206,106689,69450079521,632972,49423734,9858,2042,0,fused,44.9861047,-93.2383949,10.822,0.013260212,0.086023256,138.72153,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,190
2021-01-25 05:48:22.854 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,133929436654,10081689,89982632,106696,69723386373,632972,49618397,9858,2224,0,fused,44.9861047,-93.2383949,10.822,0.013260212,0.086023256,138.72153,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,236
2021-01-25 05:48:23.855 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,134213120278,10083472,90173018,106702,70002969105,632972,49817530,9858,2244,0,fused,44.9861045,-93.2383948,10.822,0.012402046,0.086023256,150.6174,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,235
2021-01-25 05:48:24.855 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,134491823298,10083472,90359760,106702,70276789821,632972,50012559,9858,2250,0,fused,44.9861045,-93.2383948,10.822,0.012402046,0.086023256,150.6174,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-81,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,32,0,0,0,0,,234
