timestamp,latitude,longitude,movingSpeed,compassDirection,nrStatus,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nr_ssRsrp_avg,nr_ssSinr_avg,mobileRx,mobileTx,currentNow,voltageNow,nrStatus_array
2021-01-23 13:03:09,44.973780825000006,-93.22252177499999,0.01728530425,345,NOT_RESTRICTED,,,,,,,27623417134,60005926,-742.0,3826000.0,['NOT_RESTRICTED']
2021-01-23 13:03:10,44.9737809,-93.2225218,0.017072819999999995,346,CONNECTED,,,,,,,27623417218,60006010,-809.8,3826000.0,"['NOT_RESTRICTED', 'CONNECTED']"
2021-01-23 13:03:11,44.97378099000001,-93.22252182999998,0.0170707275,346,CONNECTED,-72.0,-72.0,4.0,-72.0,-72.0,4.0,27623417218,60006010,-778.1,3826000.0,['CONNECTED']
2021-01-23 13:03:12,44.97378120000001,-93.22252189999999,0.017065845,346,CONNECTED,-72.0,-72.0,4.0,-72.0,-72.0,4.0,27623417218,60006010,-658.4,3826000.0,['CONNECTED']
2021-01-23 13:03:13,44.97378123,-93.22252187000001,0.014743563899999998,245,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,4.6,27623417218,60006010,-648.7,3826000.0,['CONNECTED']
2021-01-23 13:03:14,44.97378129999999,-93.2225218,0.009324907999999998,8,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,4.4,27623417218,60006010,-624.1,3826000.0,['CONNECTED']
2021-01-23 13:03:15,44.973781329999994,-93.2225218,0.008332505690000002,8,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,4.6,27623417218,60006010,-672.2,3826000.0,['CONNECTED']
2021-01-23 13:03:16,44.9737814,-93.2225218,0.006016900300000001,9,CONNECTED,-72.0,-72.0,5.0,-73.2,-73.2,4.4,27623417218,60006010,-623.2,3826000.0,['CONNECTED']
2021-01-23 13:03:17,44.97378155,-93.22252186,0.010460984409999999,110,CONNECTED,-74.0,-74.0,4.0,-74.0,-74.0,4.0,27623417218,60006010,-648.0,3826000.0,['CONNECTED']
2021-01-23 13:03:18,44.9737819,-93.22252200000001,0.020830513999999998,346,CONNECTED,-74.0,-74.0,4.0,-74.0,-74.0,3.4,27623417218,60006010,-615.0,3826000.0,['CONNECTED']
2021-01-23 13:03:19,44.97378205,-93.22252203000001,0.022766027899999996,347,CONNECTED,-74.0,-74.0,3.0,-74.6,-74.6,3.0,27623417218,60006010,-713.2,3826000.0,['CONNECTED']
