Date,downlink_Mbps,uplink_Mbps,latency_ms,Speedtest_URL,sponsor_name,connection_mode,UE_model,Server_city,Server_state,country,carrier,radio_type,UE_Server_distance_km,type,UE_location
"01/16/2021, 4:04 PM",2253.438952,106.58913600000001,6,https://www.speedtest.net/my-result/a/6936612119,Verizon,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,1.609,latency,"Minneapolis, MN"
"01/15/2021, 11:37 PM",174.58619199999995,34.441864,18,https://www.speedtest.net/my-result/a/6933924612,Verizon,multi,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,4G-LTE,1.609,latency,"Minneapolis, MN"
"01/13/2021, 7:22 PM",2624.344632,90.13844,6,https://www.speedtest.net/my-result/a/6926266585,Verizon,multi,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-mmWave,1.609,latency,"Minneapolis, MN"
"01/23/2021, 10:57 AM",151.893968,70.553576,12,https://www.speedtest.net/my-result/a/6960413628,Verizon,multi,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-Low-Band,1.609,latency,"Minneapolis, MN"
"01/23/2021, 8:36 AM",248.228784,72.830816,12,https://www.speedtest.net/my-result/a/6959949939,Verizon,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,Verizon,5G-NSA-Low-Band,1.609,latency,"Minneapolis, MN"
"01/14/2021, 11:03 AM",40.530664,45.78546400000001,43,https://www.speedtest.net/my-result/a/6928647939,T-Mobile,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,TMobile,5G-SA-Low-Band,14.481,latency,"Minneapolis, MN"
"01/12/2021, 8:26 PM",141.40725600000005,84.882976,17,https://www.speedtest.net/my-result/a/6922776740,T-Mobile,single,Samsung S20 Ultra 5G,Minneapolis,MN,USA,TMobile,5G-NSA-Low-Band,14.481,latency,"Minneapolis, MN"
"01/14/2021, 5:38 PM",42.190824,42.43488,43,https://www.speedtest.net/my-result/a/6929674515,T-Mobile,multi,Samsung S20 Ultra 5G,Minneapolis,MN,USA,TMobile,5G-SA-Low-Band,14.481,latency,"Minneapolis, MN"
"01/13/2021, 3:43 AM",199.878736,90.550288,15,https://www.speedtest.net/my-result/a/6923723287,T-Mobile,multi,Samsung S20 Ultra 5G,Minneapolis,MN,USA,TMobile,5G-NSA-Low-Band,14.481,latency,"Minneapolis, MN"
"01/15/2021, 8:42 PM",200.479232,60.957512,21,https://www.speedtest.net/my-result/a/6933583030,Verizon,multi,Samsung S20 Ultra 5G,Sioux Falls,SD,USA,Verizon,5G-NSA-Low-Band,320.191,latency,"Minneapolis, MN"
"12/31/2020, 10:22 AM",1148.7602,54.22616,14,https://www.speedtest.net/my-result/a/6882481639,Verizon,multi,Pixel 5,Sioux Falls,SD,USA,Verizon,5G-NSA-mmWave,320.191,latency,"Minneapolis, MN"
"01/15/2021, 11:38 PM",171.800976,33.163503999999996,25,https://www.speedtest.net/my-result/a/6933926349,Verizon,multi,Samsung S20 Ultra 5G,Sioux Falls,SD,USA,Verizon,4G-LTE,320.191,latency,"Minneapolis, MN"
"01/17/2021, 12:35 AM",164.97139199999995,56.258688,21,https://www.speedtest.net/my-result/a/6937525932,Verizon,single,Samsung S20 Ultra 5G,Sioux Falls,SD,USA,Verizon,5G-NSA-Low-Band,320.191,latency,"Minneapolis, MN"
"01/22/2021, 12:13 AM",1746.495336,113.475696,14,https://www.speedtest.net/my-result/a/6955016130,Verizon,single,Samsung S20 Ultra 5G,Sioux Falls,SD,USA,Verizon,5G-NSA-mmWave,320.191,latency,"Minneapolis, MN"
"01/15/2021, 11:39 PM",191.743496,31.394384000000002,46,https://www.speedtest.net/my-result/a/6933927974,Verizon,multi,Samsung S20 Ultra 5G,Milwaukee,WI,USA,Verizon,4G-LTE,473.046,latency,"Minneapolis, MN"
"01/17/2021, 3:57 PM",222.517792,55.330783999999994,41,https://www.speedtest.net/my-result/a/6939880410,Verizon,multi,Samsung S20 Ultra 5G,Milwaukee,WI,USA,Verizon,5G-NSA-Low-Band,473.046,latency,"Minneapolis, MN"
"01/17/2021, 11:05 PM",1731.8393760000001,160.099368,35,https://www.speedtest.net/my-result/a/6940614779,Verizon,single,Samsung S20 Ultra 5G,Milwaukee,WI,USA,Verizon,5G-NSA-mmWave,473.046,latency,"Minneapolis, MN"
"01/17/2021, 2:02 AM",39.353352,48.03012800000001,42,https://www.speedtest.net/my-result/a/6937703594,Verizon,single,Samsung S20 Ultra 5G,Milwaukee,WI,USA,Verizon,5G-NSA-Low-Band,473.046,latency,"Minneapolis, MN"
"12/31/2020, 2:48 PM",1692.792376,79.769312,35,https://www.speedtest.net/my-result/a/6883094960,Verizon,multi,Pixel 5,Milwaukee,WI,USA,Verizon,5G-NSA-mmWave,473.046,latency,"Minneapolis, MN"
"01/14/2021, 6:46 AM",55.663024,36.215968,50,https://www.speedtest.net/my-result/a/6927814165,T-Mobile,single,Samsung S20 Ultra 5G,Milwaukee,WI,USA,TMobile,5G-SA-Low-Band,474.655,latency,"Minneapolis, MN"
"01/13/2021, 12:48 AM",156.06864,99.680144,30,https://www.speedtest.net/my-result/a/6923305040,T-Mobile,single,Samsung S20 Ultra 5G,Milwaukee,WI,USA,TMobile,5G-NSA-Low-Band,474.655,latency,"Minneapolis, MN"
"01/13/2021, 5:52 AM",203.435192,84.955848,28,https://www.speedtest.net/my-result/a/6924062512,T-Mobile,multi,Samsung S20 Ultra 5G,Milwaukee,WI,USA,TMobile,5G-NSA-Low-Band,474.655,latency,"Minneapolis, MN"
"01/13/2021, 6:41 PM",27.406264,34.949224,50,https://www.speedtest.net/my-result/a/6926190948,T-Mobile,multi,Samsung S20 Ultra 5G,Milwaukee,WI,USA,TMobile,5G-SA-Low-Band,474.655,latency,"Minneapolis, MN"
"01/13/2021, 9:26 AM",94.044688,44.497576,26,https://www.speedtest.net/my-result/a/6924750762,T-Mobile,multi,Samsung S20 Ultra 5G,Elgin,IL,USA,TMobile,5G-NSA-Low-Band,513.271,latency,"Minneapolis, MN"
"01/13/2021, 6:42 PM",26.039648,32.92132,47,https://www.speedtest.net/my-result/a/6926192371,T-Mobile,multi,Samsung S20 Ultra 5G,Elgin,IL,USA,TMobile,5G-SA-Low-Band,513.271,latency,"Minneapolis, MN"
"01/12/2021, 8:28 PM",127.412152,77.015312,28,https://www.speedtest.net/my-result/a/6922779902,T-Mobile,single,Samsung S20 Ultra 5G,Elgin,IL,USA,TMobile,5G-NSA-Low-Band,513.271,latency,"Minneapolis, MN"
"01/13/2021, 9:52 PM",22.710672,39.562847999999995,47,https://www.speedtest.net/my-result/a/6926558036,T-Mobile,single,Samsung S20 Ultra 5G,Elgin,IL,USA,TMobile,5G-SA-Low-Band,513.271,latency,"Minneapolis, MN"
"01/15/2021, 9:26 PM",204.983648,59.516728,41,https://www.speedtest.net/my-result/a/6933667809,Verizon,multi,Samsung S20 Ultra 5G,Chicago,IL,USA,Verizon,4G-LTE,566.3679999999998,latency,"Minneapolis, MN"
"01/23/2021, 7:56 AM",40.713992,74.831376,38,https://www.speedtest.net/my-result/a/6959812495,Verizon,single,Samsung S20 Ultra 5G,Chicago,IL,USA,Verizon,5G-NSA-Low-Band,566.3679999999998,latency,"Minneapolis, MN"
"01/23/2021, 12:15 PM",3397.616328,160.865016,31,https://www.speedtest.net/my-result/a/6960649379,Verizon,multi,Samsung S20 Ultra 5G,Chicago,IL,USA,Verizon,5G-NSA-mmWave,566.3679999999998,latency,"Minneapolis, MN"
"01/21/2021, 10:31 PM",84.51334399999998,68.476864,38,https://www.speedtest.net/my-result/a/6954818444,Verizon,multi,Samsung S20 Ultra 5G,Chicago,IL,USA,Verizon,5G-NSA-Low-Band,566.3679999999998,latency,"Minneapolis, MN"
"01/17/2021, 11:09 PM",1021.243352,108.87553600000001,31,https://www.speedtest.net/my-result/a/6940621444,Verizon,single,Samsung S20 Ultra 5G,Chicago,IL,USA,Verizon,5G-NSA-mmWave,566.3679999999998,latency,"Minneapolis, MN"
"01/16/2021, 3:17 AM",70.560144,35.24864,31,https://www.speedtest.net/my-result/a/6934418288,Verizon,multi,Samsung S20 Ultra 5G,Kansas City,MO,USA,Verizon,4G-LTE,661.299,latency,"Minneapolis, MN"
"01/13/2021, 4:28 AM",203.21459199999998,85.4902,38,https://www.speedtest.net/my-result/a/6923838979,T-Mobile,multi,Samsung S20 Ultra 5G,Kansas City,MO,USA,TMobile,5G-NSA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/13/2021, 2:07 PM",41.0254,39.132304,59,https://www.speedtest.net/my-result/a/6925599652,T-Mobile,multi,Samsung S20 Ultra 5G,Kansas City,MO,USA,TMobile,5G-SA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/17/2021, 3:15 PM",191.19352800000001,52.46196,28,https://www.speedtest.net/my-result/a/6939801320,Verizon,multi,Samsung S20 Ultra 5G,Kansas City,MO,USA,Verizon,5G-NSA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/13/2021, 12:49 AM",133.521824,91.569248,36,https://www.speedtest.net/my-result/a/6923308646,T-Mobile,single,Samsung S20 Ultra 5G,Kansas City,MO,USA,TMobile,5G-NSA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/13/2021, 9:52 PM",30.984479999999998,39.127624,59,https://www.speedtest.net/my-result/a/6926559607,T-Mobile,single,Samsung S20 Ultra 5G,Kansas City,MO,USA,TMobile,5G-SA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/15/2021, 1:19 AM",1634.0312,70.888216,22,https://www.speedtest.net/my-result/a/6930564693,Verizon,single,Samsung S20 Ultra 5G,Kansas City,MO,USA,Verizon,5G-NSA-mmWave,661.299,latency,"Minneapolis, MN"
"01/23/2021, 7:56 AM",52.806608,75.42007199999998,28,https://www.speedtest.net/my-result/a/6959815350,Verizon,single,Samsung S20 Ultra 5G,Kansas City,MO,USA,Verizon,5G-NSA-Low-Band,661.299,latency,"Minneapolis, MN"
"01/17/2021, 11:47 PM",3190.4758239999996,211.067288,22,https://www.speedtest.net/my-result/a/6940693472,Verizon,multi,Samsung S20 Ultra 5G,Kansas City,MO,USA,Verizon,5G-NSA-mmWave,661.299,latency,"Minneapolis, MN"
