pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,responseContentType,responseContentLength,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-26T07:44:49.169Z,GET,http://17track.net/,http/1.1,-1,301,0,text/html,178,636.5590000059456,94.41799999235384,0.03700000000000614,255.325,0.4409999999999741,283.13500000000005,3.2030000002123415,-1
page_1,2020-12-26T07:44:49.806Z,GET,https://17track.net/,h2,-1,301,0,text/html,178,836.5089999861084,3.2209999863915146,0.05799999999999994,562.169,0.5229999999999109,265.4670000000001,5.0709999923128635,297.42800000000005
page_1,2020-12-26T07:44:50.642Z,GET,https://www.17track.net/,h2,-1,302,0,text/html; charset=utf-8,50,1201.5280000050552,11.571000004658476,136.279,125.362,0.5289999999999964,920.807,6.980000005569309,87.27300000000002
page_1,2020-12-26T07:44:51.844Z,GET,https://www.17track.net/en,h2,-1,200,113125,text/html; charset=utf-8,87.16799999820068,7.462000010481104,-1,-1,2.017,48.149,29.53999998862855,-1
page_1,2020-12-26T07:44:52.007Z,GET,https://cdn.snigelweb.com/pub/17track.net/20201207/snhb-17track.net.min.js,h2,-1,200,50079,application/javascript,"s-maxage=1800, max-age=1800, public, must-revalidate",305.8339999988675,3.8710000068396333,39.937000000000005,164.211,10.76400000000001,83.25599999999997,3.794999996898696,97.294
page_1,2020-12-26T07:44:52.009Z,GET,https://res.17track.net/global-v2/vendor-yq/re-mobile-site/re-mobile-site.min.js?v=3ff121e892,h2,-1,200,12132,application/javascript; charset=UTF-8,"public, max-age=31536000",332.65499997651204,6.783999996831641,90.793,131.66699999999997,0.24800000000001887,101.43299999999996,1.7299999890383333,87.50899999999999
page_1,2020-12-26T07:44:52.010Z,GET,https://res.17track.net/global-v2/css/bootstrap.min.css?v=882a2f3a81,h2,-1,200,111360,text/css; charset=UTF-8,"public, max-age=31536000",198.58700002077967,98.89599999855459,-1,-1,5.153000000000006,79.09100000000001,15.447000012500212,-1
page_1,2020-12-26T07:44:52.010Z,GET,https://res.17track.net/global-v2/css/bootstrap-extend.min.css?v=308c237350,h2,-1,200,136617,text/css; charset=UTF-8,"public, max-age=31536000",221.54900000896305,98.81399999469706,-1,-1,4.714999999999989,113.964,4.056000005220994,-1
page_1,2020-12-26T07:44:52.011Z,GET,https://res.17track.net/global-v2/css/site.min.css?v=4206263675,h2,-1,200,205728,text/css; charset=UTF-8,"public, max-age=31536000",195.98400001996197,97.6110000274144,-1,-1,5.006,69.916,23.45099998638034,-1
page_1,2020-12-26T07:44:52.012Z,GET,https://res.17track.net/global-v2/merge-css/base-vendor/base-vendor.min.css?v=7a8ddaaf78,h2,-1,200,140430,text/css; charset=UTF-8,"public, max-age=31536000",212.37699998891912,97.1759999958612,-1,-1,4.566999999999993,92.61500000000001,18.01899998099543,-1
page_1,2020-12-26T07:44:52.016Z,GET,https://res.17track.net/global-v2/merge-css/base-site/base-site.min.css?v=d4ebfd0a61,h2,-1,200,45061,text/css; charset=UTF-8,"public, max-age=31536000",187.3769999947399,92.15999997548013,-1,-1,5.467000000000013,88.71099999999998,1.0390000243205577,-1
page_1,2020-12-26T07:44:52.017Z,GET,https://res.17track.net/global-v2/merge-css/enum/enum.min.css?v=3192af452b,h2,-1,200,240460,text/css; charset=UTF-8,"public, max-age=31536000",165.04799999529496,90.87399998955242,-1,-1,5.615000000000009,53.438,15.121000004000962,-1
